RA,Latitude,Longitude,station_long_name,Platform,Operational,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,geometry
AOOS,71.6,-161.5,Chukchi Sea Ecosystem Mooring (CSESM) Array,moored_buoy,Y,Yp,X,,X,,,,,,,,,,X,X,,X,X,,,X,,,X,,,X,"sea_water_temperature (35m, 48m, near-bottom), sea_water_electrical_conductivity (35m, 48m, near-bottom), sea_water_practical_salinity (35m, 48m, near-bottom), current_velocity (3-30 m, 1m bins; near-bottom), sea_surface_wave_significant_height, sea_surface_wave_to_direction, sea_surface_wave_mean_period, nitrate (35m), dissolved_oxygen (35 m), sea_water_pH_reported_on_total_scale (35 m), partial_pressure_of_carbon_dioxide_in_sea_water (35 m), sediment_trap_parameters (38m), fish_and_plankton_acoustic_profile (0.5-30m in 4 cm bins), partical_size_spectra (35 m), sea_water_pressure (35 m, near bottom)",POINT (-161.5 71.59999999999999)
AOOS,59.0142,-148.6902,Gulf of Alaska Ecosystem Observatory-GEO1,Fixed moored_buoy,Y,Yp,X,,X,X,X,X,X,X,,X,,,,,,,,,,,,X,,,,,"Real time mooring: 150kHz ADCP (205m), SBE 37 TSP (205m), ITP (Profiling CTD:  sea_water_electrical_conductivity, sea_water_temperature, sea_water_pressure, sea_water_practical_salinity, depth, mass_concentration_of_chlorophyll_in_sea_water, CDOM, OBS, DO, NO3); GPS, wind_speed, wind_from_direction, air_temperature, relative_humidity, dew_point_temperature, air_pressure,  downwelling_photosynthetic_photon_flux_in_sea_water (1m),  mass_concentration_of_chlorophyll_in_sea_water (1m)",POINT (-148.6902 59.0142)
AOOS,59.0165,-148.696,Gulf of Alaska Ecosystem Observatory-GEO3,Fixed moored_buoy,Y,Yp,X,,,X,X,X,X,X,,X,,,,,,,,,,,,X,,,,,"Real time mooring: GPS, wind_speed, wind_from_direction, air_temperature, relative_humidity, dew_point_temperature, air_pressure, mass_concentration_of_chlorophyll_in_sea_water (5m), sea_water_electrical_conductivity (5m), downwelling_photosynthetic_photon_flux_in_sea_water (5m), sea_water_temperature (5m),  sea_water_practical_salinity (5m)",POINT (-148.696 59.0165)
AOOS,59.845,-149.466667,Oceanographic Station GAK1,moored_buoy,Y,N,X,X,,,,,,,,,,,,,,,,,,,,,,,,,"NOT REAL TIME: sea_water_temperature (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_electrical_conductivity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_salinity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m)",POINT (-149.466667 59.845)
AOOS,59.85,-149.5,GAKOA-Gulf of Alaska Ocean Acidification Mooring,moored_buoy,Y,Yp,X,X,,,,,,X,,,,,,,,,X,,,X,,,,,,,"dissolved_carbon_dixoide_ppm, partial_pressure_of_carbon_dioxide_in_sea_water, sea_water_pH, sea_water_temperature, sea_water_salinity, barometric_pressure",POINT (-149.5 59.85)
AOOS,56.87,-164.06,Ocean Acidification Mooring M2,moored_buoy,Y,Yp,X,X,,,,,,X,,,,,,,,,X,,,X,,,,,,,"dissolved_carbon_dixoide_ppm, partial_pressure_of_carbon_dioxide_in_sea_water , sea_water_pH, sea_water_temperature, sea_water_salinity, barometric_pressure",POINT (-164.06 56.87)
AOOS,54.1321,-165.7818,"Akutan, Port",Fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",POINT (-165.7818 54.1321)
AOOS,61.238746,-149.888778,Anchorage Port,Fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",POINT (-149.888778 61.238746)
AOOS,60.7915,-161.7487,Bethel,Fixed,Y,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",POINT (-161.7487 60.7915)
AOOS,56.001483,-134.136,Cape Decision,Fixed,N,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",POINT (-134.136 56.001483)
